sigma,sign,type,m,src,isValidation,id,graphtype,offset,answer,error,unsignedError,index
0.2,1,trig,0.4,data/Exp3/trig/scatter/S0.2m0.4.png,,2,scatter,-0.09,-0.06,-0.03,0.03,33
0.1,1,trig,0.4,data/Exp3/trig/line/S0.1m0.4.png,,2,line,0.03,0.03,0,0,34
0.2,-1,quad,0.1,data/Exp3/quad/area/S0.2m-0.1.png,,2,area,-0.03,-0.095,0.07,0.07,36
0.1,-1,quad,0.8,data/Exp3/quad/area/S0.1m-0.8.png,,2,area,0.07,0.075,0,0,35
0.1,1,line,0.2,data/Exp3/line/line/S0.1m0.2.png,,2,line,-0.24,-0.25,0.01,0.01,37
0.05,-1,quad,0.2,data/Exp3/quad/line/S0.05m-0.2.png,,2,line,0.19,0.18,0.01,0.01,38
0.2,1,trig,0.1,data/Exp3/trig/line/S0.2m0.1.png,,2,line,0.25,0.285,-0.03,0.03,39
0.15,1,trig,0.4,data/Exp3/trig/scatter/S0.15m0.4.png,,2,scatter,0.02,0.015,0.01,0.01,40
0.15,1,quad,0.1,data/Exp3/quad/scatter/S0.15m0.1.png,,2,scatter,-0.2,-0.195,-0.01,0.01,41
0.1,1,trig,0.8,data/Exp3/trig/area/S0.1m0.8.png,,2,area,-0.08,-0.14,0.06,0.06,42
0.15,-1,trig,0.1,data/Exp3/trig/line/S0.15m-0.1.png,,2,line,-0.05,-0.04,-0.01,0.01,43
0.1,-1,trig,0.1,data/Exp3/trig/line/S0.1m-0.1.png,,2,line,-0.08,-0.06,-0.02,0.02,44
0.2,1,trig,0.2,data/Exp3/trig/area/S0.2m0.2.png,,2,area,-0.2,-0.3,0.1,0.1,45
0.2,-1,quad,0.8,data/Exp3/quad/scatter/S0.2m-0.8.png,,2,scatter,0.12,0.13,-0.01,0.01,46
0.15,1,trig,0.2,data/Exp3/trig/line/S0.15m0.2.png,,2,line,-0.23,-0.235,0,0,47
0.05,-1,line,0.8,data/Exp3/line/line/S0.05m-0.8.png,,2,line,-0.1,-0.095,-0.01,0.01,48
0.05,1,quad,0.4,data/Exp3/quad/scatter/S0.05m0.4.png,,2,scatter,0.25,0.23,0.02,0.02,49
0.1,-1,quad,0.4,data/Exp3/quad/area/S0.1m-0.4.png,,2,area,-0.2,-0.185,-0.02,0.02,50
0.1,1,quad,0.2,data/Exp3/quad/area/S0.1m0.2.png,,2,area,-0.08,-0.08,0,0,51
0.1,-1,quad,0.2,data/Exp3/quad/area/S0.1m-0.2.png,,2,area,-0.07,-0.075,0,0,52
0.2,1,quad,0.1,data/Exp3/quad/area/S0.2m0.1.png,,2,area,-0.13,-0.18,0.05,0.05,53
0.15,-1,quad,0.1,data/Exp3/quad/area/S0.15m-0.1.png,,2,area,-0.09,-0.075,-0.01,0.01,54
0.05,1,line,0.1,data/Exp3/line/line/S0.05m0.1.png,,2,line,0.05,0.01,0.04,0.04,56
0.2,-1,quad,0.4,data/Exp3/quad/line/S0.2m-0.4.png,,2,line,-0.22,-0.095,-0.13,0.13,55
0.2,1,line,0.4,data/Exp3/line/line/S0.2m0.4.png,,2,line,0.02,0,0.02,0.02,58
0.2,-1,line,0.4,data/Exp3/line/area/S0.2m-0.4.png,,2,area,-0.24,-0.195,-0.04,0.04,57
0.05,1,quad,0.8,data/Exp3/quad/line/S0.05m0.8.png,,2,line,0.15,0.145,0.01,0.01,59
0.1,-1,line,0.2,data/Exp3/line/line/S0.1m-0.2.png,,2,line,-0.15,-0.14,-0.01,0.01,60
0.05,-1,line,0.1,data/Exp3/line/area/S0.05m-0.1.png,,2,area,0.17,0.145,0.03,0.03,61
0.05,-1,trig,0.4,data/Exp3/trig/line/S0.05m-0.4.png,,2,line,-0.17,-0.195,0.02,0.02,62
0.2,-1,line,0.8,data/Exp3/line/line/S0.2m-0.8.png,,2,line,-0.03,-0.105,0.07,0.07,63
0.2,1,trig,0.4,data/Exp3/trig/area/S0.2m0.4.png,,2,area,0.16,0.305,-0.14,0.14,65
0.15,-1,line,0.1,data/Exp3/line/scatter/S0.15m-0.1.png,,2,scatter,-0.03,-0.055,0.03,0.03,66
0.05,1,line,0.4,data/Exp3/line/area/S0.05m0.4.png,,2,area,0.06,0.03,0.03,0.03,67
0.15,1,trig,0.8,data/Exp3/trig/area/S0.15m0.8.png,,2,area,-0.22,-0.275,0.06,0.06,68
0.15,-1,trig,0.2,data/Exp3/trig/scatter/S0.15m-0.2.png,,2,scatter,0,0.005,-0.01,0.01,69
0.1,-1,line,0.8,data/Exp3/line/scatter/S0.1m-0.8.png,,2,scatter,-0.06,-0.08,0.02,0.02,70
0.05,-1,trig,0.1,data/Exp3/trig/line/S0.05m-0.1.png,,2,line,0.18,0.16,0.02,0.02,71
0.15,1,line,0.2,data/Exp3/line/scatter/S0.15m0.2.png,,2,scatter,0.16,0.165,-0.01,0.01,72
0.2,-1,line,0.8,data/Exp3/line/area/S0.2m-0.8.png,,2,area,-0.22,-0.265,0.05,0.05,73
0.1,1,line,0.8,data/Exp3/line/line/S0.1m0.8.png,,2,line,0.17,0.13,0.04,0.04,74
0.15,-1,quad,0.2,data/Exp3/quad/line/S0.15m-0.2.png,,2,line,-0.01,-0.005,-0.01,0.01,75
0.05,-1,trig,0.4,data/Exp3/trig/scatter/S0.05m-0.4.png,,2,scatter,0.25,0.21,0.04,0.04,76
0.15,-1,trig,0.4,data/Exp3/trig/line/S0.15m-0.4.png,,2,line,0.2,0.265,-0.07,0.07,78
0.15,1,quad,0.8,data/Exp3/quad/scatter/S0.15m0.8.png,,2,scatter,0.06,0.08,-0.02,0.02,79
0.05,1,line,0.8,data/Exp3/line/scatter/S0.05m0.8.png,,2,scatter,0.18,0.185,-0.01,0.01,80
0.15,1,quad,0.8,data/Exp3/quad/line/S0.15m0.8.png,,2,line,0,0.005,-0.01,0.01,81
0.2,-1,line,0.2,data/Exp3/line/area/S0.2m-0.2.png,,2,area,0.12,0.065,0.05,0.05,82
0.1,1,trig,0.1,data/Exp3/trig/line/S0.1m0.1.png,,2,line,-0.11,-0.14,0.03,0.03,83
0.05,1,quad,0.8,data/Exp3/quad/area/S0.05m0.8.png,,2,area,-0.24,-0.245,0.01,0.01,84
0.05,1,line,0.4,data/Exp3/line/line/S0.05m0.4.png,,2,line,0.2,0.185,0.02,0.02,86
0.2,1,trig,0.8,data/Exp3/trig/line/S0.2m0.8.png,,2,line,-0.24,-0.26,0.02,0.02,85
0.1,-1,line,0.2,data/Exp3/line/scatter/S0.1m-0.2.png,,2,scatter,-0.18,-0.21,0.03,0.03,87
0.2,1,line,0.8,data/Exp3/line/area/S0.2m0.8.png,,2,area,0.05,0,0.05,0.05,88
0.1,1,line,0.8,data/Exp3/line/scatter/S0.1m0.8.png,,2,scatter,-0.08,-0.09,0.01,0.01,89
0.15,1,trig,0.1,data/Exp3/trig/line/S0.15m0.1.png,,2,line,0.16,0.15,0.01,0.01,90
0.05,-1,line,0.4,data/Exp3/line/area/S0.05m-0.4.png,,2,area,0.04,0.005,0.04,0.04,91
0.15,-1,quad,0.4,data/Exp3/quad/scatter/S0.15m-0.4.png,,2,scatter,0.1,0.075,0.03,0.03,92
0.1,-1,line,0.4,data/Exp3/line/scatter/S0.1m-0.4.png,,2,scatter,-0.07,-0.08,0.01,0.01,93
0.05,-1,trig,0.1,data/Exp3/trig/scatter/S0.05m-0.1.png,,2,scatter,0.07,0.055,0.02,0.02,94
0.05,-1,quad,0.2,data/Exp3/quad/scatter/S0.05m-0.2.png,,2,scatter,0.22,0.21,0.01,0.01,95
0.2,-1,line,0.1,data/Exp3/line/scatter/S0.2m-0.1.png,,2,scatter,0.07,0.085,-0.01,0.01,96
0.2,1,quad,0.2,data/Exp3/quad/scatter/S0.2m0.2.png,,2,scatter,-0.2,-0.255,0.05,0.05,97
0.05,-1,trig,0.2,data/Exp3/trig/area/S0.05m-0.2.png,,2,area,0.13,0.13,0,0,98
0.05,1,line,0.2,data/Exp3/line/scatter/S0.05m0.2.png,,2,scatter,0.16,0.165,-0.01,0.01,99
0.1,-1,line,0.1,data/Exp3/line/line/S0.1m-0.1.png,,3,line,0.03,0.035,-0.01,0.01,0
0.05,1,quad,0.1,data/Exp3/quad/area/S0.05m0.1.png,,3,area,0.06,0.05,0.01,0.01,1
0.05,-1,line,0.4,data/Exp3/line/line/S0.05m-0.4.png,,3,line,0.13,0.125,0.01,0.01,2
0.2,-1,trig,0.1,data/Exp3/trig/scatter/S0.2m-0.1.png,,3,scatter,0.2,0.235,-0.03,0.03,3
0.2,1,quad,0.4,data/Exp3/quad/area/S0.2m0.4.png,,3,area,-0.05,-0.09,0.04,0.04,4
0.1,1,line,0.4,data/Exp3/line/line/S0.1m0.4.png,,3,line,-0.14,-0.14,0,0,5
0.2,1,line,0.4,data/Exp3/line/line/S0.2m0.4.png,,3,line,0.02,0.065,-0.04,0.04,6
0.05,-1,trig,0.2,data/Exp3/trig/area/S0.05m-0.2.png,,3,area,-0.22,-0.22,0,0,7
0.05,-1,line,0.2,data/Exp3/line/line/S0.05m-0.2.png,,3,line,0.12,0.115,0,0,8
0.05,1,trig,0.4,data/Exp3/trig/line/S0.05m0.4.png,,3,line,0.07,0.065,0.01,0.01,9
0.15,1,trig,0.4,data/Exp3/trig/area/S0.15m0.4.png,,3,area,-0.06,-0.07,0.01,0.01,10
0.2,-1,trig,0.8,data/Exp3/trig/line/S0.2m-0.8.png,,3,line,0.04,0.03,0.01,0.01,11
0.2,1,quad,0.1,data/Exp3/quad/scatter/S0.2m0.1.png,,3,scatter,0.07,0.075,0,0,12
0.2,1,line,0.8,data/Exp3/line/scatter/S0.2m0.8.png,,3,scatter,-0.07,-0.04,-0.03,0.03,13
0.05,1,trig,0.8,data/Exp3/trig/scatter/S0.05m0.8.png,,3,scatter,-0.04,-0.035,0,0,14
0.1,-1,line,0.1,data/Exp3/line/area/S0.1m-0.1.png,,3,area,-0.05,-0.03,-0.02,0.02,15
0.05,-1,line,0.4,data/Exp3/line/area/S0.05m-0.4.png,,3,area,0.15,0.145,0.01,0.01,16
0.2,-1,trig,0.2,data/Exp3/trig/line/S0.2m-0.2.png,,3,line,-0.07,-0.07,0,0,17
0.1,-1,trig,0.8,data/Exp3/trig/scatter/S0.1m-0.8.png,,3,scatter,-0.24,-0.24,0,0,18
0.2,-1,line,0.4,data/Exp3/line/line/S0.2m-0.4.png,,3,line,0.22,0.215,0.01,0.01,19
0.2,1,quad,0.8,data/Exp3/quad/line/S0.2m0.8.png,,3,line,0.15,0.15,0,0,20
0.2,-1,quad,0.1,data/Exp3/quad/line/S0.2m-0.1.png,,3,line,0.21,0.235,-0.02,0.02,22
0.1,1,line,0.1,data/Exp3/line/scatter/S0.1m0.1.png,,3,scatter,0.01,0.025,-0.02,0.02,23
0.1,1,quad,0.1,data/Exp3/quad/line/S0.1m0.1.png,,3,line,-0.15,-0.15,0,0,24
0.15,1,line,0.8,data/Exp3/line/area/S0.15m0.8.png,,3,area,0.08,0.005,0.07,0.07,25
0.1,-1,line,0.1,data/Exp3/line/scatter/S0.1m-0.1.png,,3,scatter,0.15,0.175,-0.02,0.02,26
0.2,1,quad,0.1,data/Exp3/quad/line/S0.2m0.1.png,,3,line,0.12,0.12,0,0,27
0.1,1,trig,0.1,data/Exp3/trig/area/S0.1m0.1.png,,3,area,-0.23,-0.21,-0.02,0.02,28
0.15,-1,trig,0.2,data/Exp3/trig/scatter/S0.15m-0.2.png,,3,scatter,-0.1,-0.055,-0.05,0.05,29
0.05,-1,trig,0.8,data/Exp3/trig/area/S0.05m-0.8.png,,3,area,0,0.01,-0.01,0.01,30
0.2,-1,trig,0.2,data/Exp3/trig/area/S0.2m-0.2.png,,3,area,-0.2,-0.21,0.01,0.01,31
0.05,1,trig,0.8,data/Exp3/trig/area/S0.05m0.8.png,,3,area,-0.25,-0.26,0.01,0.01,32
0.05,-1,quad,0.8,data/Exp3/quad/line/S0.05m-0.8.png,,3,line,0.12,0.115,0,0,33
0.05,1,line,0.2,data/Exp3/line/line/S0.05m0.2.png,,3,line,-0.08,-0.075,-0.01,0.01,34
0.1,1,line,0.2,data/Exp3/line/scatter/S0.1m0.2.png,,3,scatter,-0.03,-0.015,-0.01,0.01,36
0.15,1,quad,0.2,data/Exp3/quad/line/S0.15m0.2.png,,3,line,-0.14,-0.14,0,0,35
0.15,-1,trig,0.8,data/Exp3/trig/area/S0.15m-0.8.png,,3,area,-0.03,-0.055,0.03,0.03,37
0.1,1,quad,0.8,data/Exp3/quad/area/S0.1m0.8.png,,3,area,-0.16,-0.19,0.03,0.03,38
0.15,-1,quad,0.1,data/Exp3/quad/line/S0.15m-0.1.png,,3,line,0.16,0.16,0,0,39
0.2,1,line,0.2,data/Exp3/line/area/S0.2m0.2.png,,3,area,-0.01,-0.035,0.03,0.03,40
0.15,-1,line,0.2,data/Exp3/line/area/S0.15m-0.2.png,,3,area,-0.16,-0.17,0.01,0.01,41
0.05,-1,trig,0.1,data/Exp3/trig/scatter/S0.05m-0.1.png,,3,scatter,0.24,0.245,-0.01,0.01,42
0.2,-1,line,0.1,data/Exp3/line/area/S0.2m-0.1.png,,3,area,0.22,0.235,-0.01,0.01,43
0.05,1,trig,0.2,data/Exp3/trig/area/S0.05m0.2.png,,3,area,-0.1,-0.1,0,0,44
0.05,1,quad,0.1,data/Exp3/quad/line/S0.05m0.1.png,,3,line,-0.02,-0.035,0.02,0.02,45
0.05,1,quad,0.4,data/Exp3/quad/scatter/S0.05m0.4.png,,3,scatter,0.09,0.095,-0.01,0.01,46
0.05,1,line,0.4,data/Exp3/line/area/S0.05m0.4.png,,3,area,0.09,0.075,0.01,0.01,47
0.2,1,trig,0.4,data/Exp3/trig/scatter/S0.2m0.4.png,,3,scatter,0.18,0.155,0.02,0.02,48
0.1,1,line,0.4,data/Exp3/line/scatter/S0.1m0.4.png,,3,scatter,-0.16,-0.185,0.02,0.02,49
0.15,1,quad,0.8,data/Exp3/quad/scatter/S0.15m0.8.png,,3,scatter,0.1,0.105,0,0,50
0.1,-1,line,0.2,data/Exp3/line/area/S0.1m-0.2.png,,3,area,0.24,0.225,0.01,0.01,52
0.05,1,line,0.2,data/Exp3/line/scatter/S0.05m0.2.png,,3,scatter,-0.18,-0.17,-0.01,0.01,53
0.2,1,trig,0.2,data/Exp3/trig/scatter/S0.2m0.2.png,,3,scatter,0.09,0.105,-0.01,0.01,54
0.1,1,trig,0.8,data/Exp3/trig/line/S0.1m0.8.png,,3,line,0.08,0.07,0.01,0.01,55
0.2,1,quad,0.8,data/Exp3/quad/area/S0.2m0.8.png,,3,area,0.06,0.01,0.05,0.05,56
0.1,-1,line,0.8,data/Exp3/line/line/S0.1m-0.8.png,,3,line,0.12,0.115,0,0,57
0.2,-1,trig,0.4,data/Exp3/trig/scatter/S0.2m-0.4.png,,3,scatter,-0.04,0.01,-0.05,0.05,58
0.1,1,line,0.8,data/Exp3/line/scatter/S0.1m0.8.png,,3,scatter,0.16,0.19,-0.03,0.03,59
0.1,1,trig,0.2,data/Exp3/trig/line/S0.1m0.2.png,,3,line,-0.16,-0.17,0.01,0.01,60
0.15,1,line,0.4,data/Exp3/line/scatter/S0.15m0.4.png,,3,scatter,-0.03,-0.01,-0.02,0.02,61
0.15,-1,trig,0.4,data/Exp3/trig/line/S0.15m-0.4.png,,3,line,-0.02,-0.035,0.02,0.02,62
0.1,1,quad,0.2,data/Exp3/quad/area/S0.1m0.2.png,,3,area,-0.13,-0.15,0.02,0.02,63
0.15,-1,quad,0.4,data/Exp3/quad/area/S0.15m-0.4.png,,3,area,0.07,0.03,0.04,0.04,64
0.15,-1,quad,0.1,data/Exp3/quad/area/S0.15m-0.1.png,,3,area,0.11,0.115,-0.01,0.01,65
0.2,-1,trig,0.2,data/Exp3/trig/scatter/S0.2m-0.2.png,,3,scatter,-0.18,-0.15,-0.03,0.03,66
0.05,-1,quad,0.4,data/Exp3/quad/scatter/S0.05m-0.4.png,,3,scatter,0.23,0.235,0,0,67
0.1,-1,trig,0.4,data/Exp3/trig/line/S0.1m-0.4.png,,3,line,-0.12,-0.09,-0.03,0.03,68
0.1,-1,trig,0.2,data/Exp3/trig/scatter/S0.1m-0.2.png,,3,scatter,0.04,0.03,0.01,0.01,69
0.15,1,quad,0.1,data/Exp3/quad/line/S0.15m0.1.png,,3,line,-0.17,-0.16,-0.01,0.01,70
0.2,1,trig,0.1,data/Exp3/trig/area/S0.2m0.1.png,,3,area,0,-0.015,0.01,0.01,71
0.05,-1,quad,0.2,data/Exp3/quad/scatter/S0.05m-0.2.png,,3,scatter,0.08,0.09,-0.01,0.01,72
0.15,-1,quad,0.4,data/Exp3/quad/scatter/S0.15m-0.4.png,,3,scatter,0.12,0.05,0.07,0.07,73
0.15,1,quad,0.1,data/Exp3/quad/scatter/S0.15m0.1.png,,3,scatter,-0.24,-0.21,-0.03,0.03,74
0.05,-1,line,0.1,data/Exp3/line/area/S0.05m-0.1.png,,3,area,-0.07,-0.055,-0.02,0.02,76
0.15,-1,line,0.8,data/Exp3/line/line/S0.15m-0.8.png,,3,line,0.1,0.095,0.01,0.01,77
0.15,1,quad,0.2,data/Exp3/quad/area/S0.15m0.2.png,,3,area,0.07,0.05,0.02,0.02,78
0.15,-1,quad,0.1,data/Exp3/quad/scatter/S0.15m-0.1.png,,3,scatter,-0.18,-0.16,-0.02,0.02,79
0.15,1,line,0.1,data/Exp3/line/area/S0.15m0.1.png,,3,area,0.07,0.005,0.07,0.07,80
0.2,-1,trig,0.8,data/Exp3/trig/area/S0.2m-0.8.png,,3,area,0.25,0.195,0.05,0.05,82
0.2,-1,line,0.4,data/Exp3/line/area/S0.2m-0.4.png,,3,area,0.11,0.045,0.07,0.07,83
0.15,-1,line,0.2,data/Exp3/line/line/S0.15m-0.2.png,,3,line,0,-0.015,0.01,0.01,84
0.1,-1,trig,0.4,data/Exp3/trig/scatter/S0.1m-0.4.png,,3,scatter,-0.1,-0.1,0,0,85
0.2,1,trig,0.2,data/Exp3/trig/line/S0.2m0.2.png,,3,line,0.14,0.155,-0.01,0.01,86
0.15,1,quad,0.4,data/Exp3/quad/line/S0.15m0.4.png,,3,line,0.23,0.22,0.01,0.01,87
0.1,-1,trig,0.8,data/Exp3/trig/area/S0.1m-0.8.png,,3,area,0.14,0.105,0.04,0.04,88
0.2,-1,quad,0.8,data/Exp3/quad/scatter/S0.2m-0.8.png,,3,scatter,0,0.01,-0.01,0.01,89
0.1,-1,trig,0.2,data/Exp3/trig/line/S0.1m-0.2.png,,3,line,-0.18,-0.2,0.02,0.02,90
0.1,-1,trig,0.4,data/Exp3/trig/area/S0.1m-0.4.png,,3,area,0.2,0.175,0.03,0.03,91
0.15,1,trig,0.2,data/Exp3/trig/scatter/S0.15m0.2.png,,3,scatter,0,0.035,-0.04,0.04,92
0.15,1,quad,0.8,data/Exp3/quad/line/S0.15m0.8.png,,3,line,0.21,0.195,0.01,0.01,93
0.05,1,line,0.1,data/Exp3/line/scatter/S0.05m0.1.png,,3,scatter,0.11,0.095,0.01,0.01,94
0.15,-1,quad,0.8,data/Exp3/quad/scatter/S0.15m-0.8.png,,3,scatter,0.24,0.185,0.05,0.05,96
0.05,-1,line,0.8,data/Exp3/line/scatter/S0.05m-0.8.png,,3,scatter,-0.18,-0.16,-0.02,0.02,95
0.05,-1,quad,0.1,data/Exp3/quad/line/S0.05m-0.1.png,,3,line,0.09,0.095,-0.01,0.01,97
0.1,1,line,0.4,data/Exp3/line/area/S0.1m0.4.png,,3,area,0.08,0.085,-0.01,0.01,98
0.05,1,line,0.8,data/Exp3/line/line/S0.05m0.8.png,,3,line,-0.17,-0.18,0.01,0.01,99
0.1,1,line,0.2,data/Exp3/line/line/S0.1m0.2.png,,4,line,0.12,0.11,0.01,0.01,0
0.2,1,trig,0.2,data/Exp3/trig/scatter/S0.2m0.2.png,,4,scatter,0.19,0.2,-0.01,0.01,1
0.15,1,trig,0.4,data/Exp3/trig/area/S0.15m0.4.png,,4,area,0.04,0.145,-0.1,0.1,2
0.05,-1,trig,0.2,data/Exp3/trig/scatter/S0.05m-0.2.png,,4,scatter,0.23,0.22,0.01,0.01,3
0.05,-1,trig,0.2,data/Exp3/trig/line/S0.05m-0.2.png,,4,line,-0.18,-0.195,0.02,0.02,4
0.15,-1,line,0.1,data/Exp3/line/area/S0.15m-0.1.png,,4,area,-0.16,-0.11,-0.05,0.05,5
0.05,-1,quad,0.8,data/Exp3/quad/area/S0.05m-0.8.png,,4,area,-0.2,-0.205,0,0,6
0.15,-1,trig,0.2,data/Exp3/trig/line/S0.15m-0.2.png,,4,line,0.24,0.265,-0.03,0.03,7
0.05,-1,line,0.1,data/Exp3/line/scatter/S0.05m-0.1.png,,4,scatter,0.02,0.025,-0.01,0.01,8
0.15,-1,trig,0.4,data/Exp3/trig/area/S0.15m-0.4.png,,4,area,-0.2,-0.185,-0.02,0.02,9
0.05,-1,trig,0.2,data/Exp3/trig/area/S0.05m-0.2.png,,4,area,0.05,0.025,0.03,0.03,10
0.15,1,quad,0.8,data/Exp3/quad/area/S0.15m0.8.png,,4,area,0.15,0.165,-0.02,0.02,11
0.1,-1,trig,0.2,data/Exp3/trig/line/S0.1m-0.2.png,,4,line,0.03,-0.005,0.03,0.03,12
0.1,-1,quad,0.4,data/Exp3/quad/line/S0.1m-0.4.png,,4,line,-0.18,-0.175,-0.01,0.01,13
0.05,1,trig,0.8,data/Exp3/trig/area/S0.05m0.8.png,,4,area,-0.08,-0.075,-0.01,0.01,14
0.1,1,line,0.1,data/Exp3/line/scatter/S0.1m0.1.png,,4,scatter,0.14,0.145,0,0,15
0.1,-1,trig,0.2,data/Exp3/trig/area/S0.1m-0.2.png,,4,area,-0.13,-0.13,0,0,16
0.2,1,line,0.8,data/Exp3/line/area/S0.2m0.8.png,,4,area,0.22,0.235,-0.01,0.01,17
0.2,-1,line,0.8,data/Exp3/line/line/S0.2m-0.8.png,,4,line,-0.24,-0.2,-0.04,0.04,18
0.15,1,quad,0.2,data/Exp3/quad/scatter/S0.15m0.2.png,,4,scatter,0.12,0.16,-0.04,0.04,19
0.2,-1,quad,0.8,data/Exp3/quad/scatter/S0.2m-0.8.png,,4,scatter,-0.24,-0.17,-0.07,0.07,20
0.2,-1,trig,0.1,data/Exp3/trig/line/S0.2m-0.1.png,,4,line,-0.11,-0.025,-0.08,0.08,21
0.15,1,quad,0.1,data/Exp3/quad/area/S0.15m0.1.png,,4,area,0.11,0.095,0.01,0.01,22
0.15,1,line,0.8,data/Exp3/line/scatter/S0.15m0.8.png,,4,scatter,-0.19,-0.19,0,0,23
0.1,1,quad,0.4,data/Exp3/quad/scatter/S0.1m0.4.png,,4,scatter,-0.12,-0.1,-0.02,0.02,24
0.1,1,trig,0.4,data/Exp3/trig/line/S0.1m0.4.png,,4,line,-0.14,-0.09,-0.05,0.05,25
0.15,1,trig,0.1,data/Exp3/trig/scatter/S0.15m0.1.png,,4,scatter,-0.25,-0.26,0.01,0.01,26
0.15,-1,line,0.1,data/Exp3/line/scatter/S0.15m-0.1.png,,4,scatter,0.2,0.175,0.03,0.03,27
0.15,1,line,0.8,data/Exp3/line/line/S0.15m0.8.png,,4,line,-0.22,-0.175,-0.05,0.05,28
0.05,1,quad,0.1,data/Exp3/quad/area/S0.05m0.1.png,,4,area,0.18,0.175,0.01,0.01,29
0.2,1,line,0.1,data/Exp3/line/line/S0.2m0.1.png,,4,line,0.23,0.28,-0.05,0.05,31
0.1,-1,quad,0.8,data/Exp3/quad/line/S0.1m-0.8.png,,4,line,0.1,0.09,0.01,0.01,32
0.15,-1,line,0.1,data/Exp3/line/line/S0.15m-0.1.png,,4,line,0.22,0.24,-0.02,0.02,33
0.05,1,line,0.4,data/Exp3/line/line/S0.05m0.4.png,,4,line,0.2,0.19,0.01,0.01,34
0.05,1,line,0.1,data/Exp3/line/line/S0.05m0.1.png,,4,line,0.18,0.145,0.04,0.04,35
0.1,-1,quad,0.2,data/Exp3/quad/scatter/S0.1m-0.2.png,,4,scatter,0.07,0.075,0,0,36
0.2,-1,trig,0.1,data/Exp3/trig/scatter/S0.2m-0.1.png,,4,scatter,-0.12,-0.075,-0.04,0.04,37
0.05,-1,line,0.8,data/Exp3/line/line/S0.05m-0.8.png,,4,line,0.1,0.09,0.01,0.01,38
0.05,-1,line,0.8,data/Exp3/line/scatter/S0.05m-0.8.png,,4,scatter,0.09,0.105,-0.01,0.01,39
0.1,-1,trig,0.1,data/Exp3/trig/scatter/S0.1m-0.1.png,,4,scatter,-0.01,0.015,-0.03,0.03,40
0.05,1,line,0.2,data/Exp3/line/line/S0.05m0.2.png,,4,line,0.22,0.23,-0.01,0.01,41
0.2,1,quad,0.4,data/Exp3/quad/line/S0.2m0.4.png,,4,line,-0.23,-0.21,-0.02,0.02,42
0.05,1,trig,0.1,data/Exp3/trig/scatter/S0.05m0.1.png,,4,scatter,0.24,0.24,0,0,43
0.1,-1,trig,0.1,data/Exp3/trig/line/S0.1m-0.1.png,,4,line,-0.11,-0.105,-0.01,0.01,44
0.05,1,trig,0.4,data/Exp3/trig/area/S0.05m0.4.png,,4,area,-0.13,-0.125,-0.01,0.01,45
0.15,1,quad,0.4,data/Exp3/quad/scatter/S0.15m0.4.png,,4,scatter,0.12,0.155,-0.04,0.04,46
0.05,-1,line,0.4,data/Exp3/line/scatter/S0.05m-0.4.png,,4,scatter,-0.22,-0.22,0,0,47
0.1,1,quad,0.8,data/Exp3/quad/area/S0.1m0.8.png,,4,area,-0.22,-0.23,0.01,0.01,48
0.15,1,trig,0.2,data/Exp3/trig/area/S0.15m0.2.png,,4,area,-0.06,-0.085,0.03,0.03,49
0.15,1,line,0.1,data/Exp3/line/line/S0.15m0.1.png,,4,line,0.13,0.13,0,0,50
0.1,-1,quad,0.4,data/Exp3/quad/scatter/S0.1m-0.4.png,,4,scatter,0.19,0.145,0.05,0.05,51
0.1,-1,quad,0.1,data/Exp3/quad/area/S0.1m-0.1.png,,4,area,-0.03,-0.1,0.07,0.07,52
0.1,1,line,0.4,data/Exp3/line/area/S0.1m0.4.png,,4,area,-0.19,-0.21,0.02,0.02,54
0.2,1,line,0.2,data/Exp3/line/line/S0.2m0.2.png,,4,line,0.24,0.315,-0.08,0.08,55
0.2,-1,line,0.8,data/Exp3/line/area/S0.2m-0.8.png,,4,area,0.1,0.015,0.09,0.09,56
0.15,-1,quad,0.8,data/Exp3/quad/line/S0.15m-0.8.png,,4,line,-0.03,0.075,-0.1,0.1,57
0.2,1,line,0.2,data/Exp3/line/area/S0.2m0.2.png,,4,area,0.01,0.01,0,0,58
0.1,1,trig,0.8,data/Exp3/trig/scatter/S0.1m0.8.png,,4,scatter,0.2,0.2,0,0,59
0.2,1,trig,0.1,data/Exp3/trig/area/S0.2m0.1.png,,4,area,0,-0.03,0.03,0.03,61
0.2,1,trig,0.8,data/Exp3/trig/line/S0.2m0.8.png,,4,line,0.18,0.175,0.01,0.01,62
0.1,1,trig,0.1,data/Exp3/trig/line/S0.1m0.1.png,,4,line,0.09,0.12,-0.03,0.03,63
0.1,-1,line,0.8,data/Exp3/line/area/S0.1m-0.8.png,,4,area,-0.03,-0.055,0.03,0.03,64
0.2,1,line,0.1,data/Exp3/line/scatter/S0.2m0.1.png,,4,scatter,-0.14,-0.125,-0.02,0.02,65
0.2,-1,line,0.4,data/Exp3/line/area/S0.2m-0.4.png,,4,area,0.2,0.155,0.05,0.05,66
0.15,-1,quad,0.4,data/Exp3/quad/line/S0.15m-0.4.png,,4,line,0.18,0.19,-0.01,0.01,67
0.2,1,quad,0.4,data/Exp3/quad/area/S0.2m0.4.png,,4,area,-0.07,-0.06,-0.01,0.01,68
0.2,-1,trig,0.2,data/Exp3/trig/line/S0.2m-0.2.png,,4,line,-0.16,-0.175,0.01,0.01,69
