sigma,sign,type,m,src,isValidation,id,graphtype,offset,answer,error,unsignedError,index
0.1,-1,trig,0.4,data/Exp3/trig/line/S0.1m-0.4.png,,2,line,0.2,0.2,0,0,10
0.1,-1,line,0.8,data/Exp3/line/line/S0.1m-0.8.png,,2,line,-0.06,-0.05,-0.01,0.01,11
0.2,-1,quad,0.4,data/Exp3/quad/scatter/S0.2m-0.4.png,,2,scatter,-0.12,-0.135,0.02,0.02,12
0.15,-1,quad,0.4,data/Exp3/quad/area/S0.15m-0.4.png,,2,area,0.03,0,0.03,0.03,13
0.1,-1,quad,0.1,data/Exp3/quad/area/S0.1m-0.1.png,,2,area,0.15,0.16,-0.01,0.01,14
0.2,1,quad,0.2,data/Exp3/quad/line/S0.2m0.2.png,,2,line,-0.03,-0.025,0,0,16
0.1,1,quad,0.2,data/Exp3/quad/scatter/S0.1m0.2.png,,2,scatter,0.24,0.225,0.01,0.01,17
0.15,1,trig,0.4,data/Exp3/trig/line/S0.15m0.4.png,,2,line,-0.15,-0.16,0.01,0.01,19
0.15,-1,trig,0.8,data/Exp3/trig/area/S0.15m-0.8.png,,2,area,0.16,0.115,0.04,0.04,18
0.05,1,trig,0.2,data/Exp3/trig/area/S0.05m0.2.png,,2,area,-0.25,-0.32,0.07,0.07,20
0.05,1,trig,0.1,data/Exp3/trig/area/S0.05m0.1.png,,2,area,-0.12,-0.15,0.03,0.03,21
0.05,1,line,0.1,data/Exp3/line/scatter/S0.05m0.1.png,,2,scatter,0.14,0.13,0.01,0.01,23
0.1,-1,line,0.1,data/Exp3/line/scatter/S0.1m-0.1.png,,2,scatter,-0.03,-0.03,0,0,22
0.15,-1,line,0.2,data/Exp3/line/area/S0.15m-0.2.png,,2,area,0.02,0.085,-0.07,0.07,24
0.05,-1,trig,0.8,data/Exp3/trig/scatter/S0.05m-0.8.png,,2,scatter,-0.04,-0.045,0,0,25
0.05,-1,line,0.8,data/Exp3/line/area/S0.05m-0.8.png,,2,area,-0.12,-0.105,-0.01,0.01,26
0.15,1,trig,0.4,data/Exp3/trig/area/S0.15m0.4.png,,2,area,-0.02,-0.055,0.04,0.04,27
0.2,1,trig,0.1,data/Exp3/trig/scatter/S0.2m0.1.png,,2,scatter,-0.19,-0.2,0.01,0.01,28
0.15,-1,line,0.8,data/Exp3/line/line/S0.15m-0.8.png,,2,line,-0.12,-0.11,-0.01,0.01,29
0.2,-1,quad,0.2,data/Exp3/quad/scatter/S0.2m-0.2.png,,2,scatter,0.12,0.115,0,0,30
0.1,1,quad,0.1,data/Exp3/quad/scatter/S0.1m0.1.png,,2,scatter,0.12,0.13,-0.01,0.01,31
0.1,1,quad,0.1,data/Exp3/quad/area/S0.1m0.1.png,,2,area,-0.09,-0.095,0.01,0.01,32
